date,value
7/21/24,44.8
7/20/24,44.8
7/19/24,44.7
7/18/24,44.7
7/17/24,44.8
7/16/24,44.8
7/15/24,44.7
7/14/24,44.4
7/13/24,44.3
7/12/24,44.5
7/11/24,44.6
7/10/24,44.2
7/9/24,44
7/8/24,44
7/7/24,44.1
7/6/24,44.2
7/5/24,44.2
7/4/24,44
7/3/24,43.8
7/2/24,44.1
7/1/24,44.3
6/30/24,44.6
6/29/24,44.9
6/28/24,44.9
6/27/24,45.1
6/26/24,45.1
6/25/24,45.2
6/24/24,45.2
6/23/24,45.2
6/22/24,45.2
6/21/24,45.2
6/20/24,45.3
6/19/24,45.5
6/18/24,45.5
6/17/24,45
6/16/24,44.8
6/15/24,44.8
6/14/24,44.6
6/13/24,44.6
6/12/24,44.7
6/11/24,44.8
6/10/24,44.8
6/9/24,44.6
6/8/24,44.8
6/7/24,44.8
6/6/24,45
6/5/24,45.2
6/4/24,45.4
6/3/24,45.6
6/2/24,46
6/1/24,46.3
5/31/24,46.4
5/30/24,46.7
5/29/24,46.3
5/28/24,46.3
5/27/24,46.4
5/26/24,46.4
5/25/24,46.4
5/24/24,46
5/23/24,46.2
5/22/24,45.8
5/21/24,45.8
5/20/24,45.6
5/19/24,45.6
5/18/24,45.7
5/17/24,45.4
5/16/24,45.3
5/15/24,45.2
5/14/24,44.9
5/13/24,44.9
5/12/24,44.9
5/11/24,44.9
5/10/24,44.9
5/9/24,44.9
5/8/24,44.9
5/7/24,44.9
5/6/24,44.9
5/5/24,44.9
5/4/24,45.2
5/3/24,45.2
5/2/24,45.1
5/1/24,45.1
4/30/24,45.2
4/29/24,45.2
4/28/24,45
4/27/24,45
4/26/24,44.9
4/25/24,44.7
4/24/24,44.6
4/23/24,44.5
4/22/24,44.2
4/21/24,44.1
4/20/24,44.1
4/19/24,44.2
4/18/24,44.2
4/17/24,44.3
4/16/24,44.9
4/15/24,44.9
4/14/24,45.4
4/13/24,45.4
4/12/24,45.3
4/11/24,45.3
4/10/24,45.3
4/9/24,45.8
4/8/24,45.9
4/7/24,46.1
4/6/24,46.3
4/5/24,46.5
4/4/24,45.8
4/3/24,45.8
4/2/24,45.8
4/1/24,45.5
3/31/24,45.5
3/30/24,45.5
3/29/24,45.5
3/28/24,45.5
3/27/24,45.3
3/26/24,45.3
3/25/24,45
3/24/24,44.9
3/23/24,44.9
3/22/24,44.7
3/21/24,44.7
3/20/24,44.7
3/19/24,44.9
3/18/24,45.5
3/17/24,45.5
3/16/24,45.5
3/15/24,45.5
3/14/24,45.1
3/13/24,45.1
3/12/24,45.5
3/11/24,45.7
3/10/24,45.7
3/9/24,45.7
3/8/24,45.8
3/7/24,45.8
3/6/24,45.3
3/5/24,45.5
3/4/24,45.4
3/3/24,45.5
3/2/24,45
3/1/24,45.1
2/29/24,45.1
2/28/24,45.1
2/27/24,44.9
2/26/24,45
2/25/24,44.8
2/24/24,44.8
2/23/24,44.2
2/22/24,44.2
2/21/24,43.7
2/20/24,44
2/19/24,44.1
2/18/24,43.8
2/17/24,43.8
2/16/24,43.8
2/15/24,43.9
2/14/24,43.9
2/13/24,43.9
2/12/24,43.8
2/11/24,43.8
2/10/24,43.6
2/9/24,43.7
2/8/24,43.9
2/7/24,44.1
2/6/24,44.1
2/5/24,44
2/4/24,44.4
2/3/24,44.6
2/2/24,44.8
2/1/24,44.8
1/31/24,44.6
1/30/24,43.9
1/29/24,43.6
1/28/24,43.3
1/27/24,43
1/26/24,43
1/25/24,43.2
1/24/24,43.5
1/23/24,43.8
1/22/24,44
1/21/24,44.3
1/20/24,44.4
1/19/24,44.6
1/18/24,44.4
1/17/24,44.4
1/16/24,44.6
1/15/24,44.5
1/14/24,44.7
1/13/24,44.7
1/12/24,44.4
1/11/24,44.4
1/10/24,44.9
1/9/24,44.8
1/8/24,44.7
1/7/24,44.7
1/6/24,44.5
1/5/24,44.5
1/4/24,44.5
1/3/24,44.3
1/2/24,44.3
1/1/24,44.3
12/31/23,44.3
12/30/23,44.3
12/29/23,44.3
12/28/23,44.4
12/27/23,44.4
12/26/23,44.4
12/25/23,44.4
12/24/23,44.4
12/23/23,44.5
12/22/23,44.5
12/21/23,44.5
12/20/23,44.5
12/19/23,44.2
12/18/23,43.9
12/17/23,43.7
12/16/23,44
12/15/23,44.1
12/14/23,44.1
12/13/23,44.3
12/12/23,44.4
12/11/23,44.2
12/10/23,44.2
12/9/23,44.4
12/8/23,44.4
12/7/23,44.5
12/6/23,44.5
12/5/23,44.7
12/4/23,44.8
12/3/23,45.3
12/2/23,45.3
12/1/23,45.3
11/30/23,45.3
11/29/23,45.2
11/28/23,45
11/27/23,45
11/26/23,44.8
11/25/23,44.8
11/24/23,44.9
11/23/23,44.9
11/22/23,44.9
11/21/23,45.1
11/20/23,44.9
11/19/23,45
11/18/23,45.1
11/17/23,45.1
11/16/23,45.2
11/15/23,44.9
11/14/23,45.1
11/13/23,45.1
11/12/23,45.1
11/11/23,44.9
11/10/23,44.5
11/9/23,44.5
11/8/23,44.6
11/7/23,44.6
11/6/23,44.7
11/5/23,44.7
11/4/23,45.2
11/3/23,45.2
